N° Caso CIADI,Nombre del Caso,Estado Demandado,Clasificación Capital,Región CIADI,País Inversor,Clasif. Inversor,Año Inicio,Resultado,Monto Reclamado (USD mill.),Monto Otorgado (USD mill.),% Otorgado/Reclamado,Tipo de Condena,Sector Económico,Decisiones Estatales Impugnadas,Tratado Invocado,Nacionalidad del Inversor,Composición Accionaria,Árbitros,¿Anulación?,Resultado Anulación,Idioma del Laudo,Variables extraídas auto,Link Italaw
ICSID Case No. ARB/10/5,Tidewater v. Venezuela,"Venezuela, Bolivarian Republic of",Importador neto,América del Sur,Barbados,Importador neto,2010,Sí con daños,234.00 USD,46.40 USD,,TJE - Trato Justo y Equitativo | Expropiación | NMF - Nación Más Favorecida | Trato Nacional,Primary - B - Mining and quarrying,Nacionalización,"Barbados - Venezuela, Bolivarian Republic of BIT (1994)",Barbados,100% (wholly owned),"McLachlan, C. A. - President; Rigo Sureda, A. - Claimant; Stern, B. - Respondent",ICSID annulment proceedings,Award/decision partially annulled ICSID annulment proceedings,Inglés,Sí,http://www.italaw.com/cases/1096
ICSID Case No. ARB/10/15,von Pezold and others v. Zimbabwe,Zimbabwe,Importador neto,África Subsahariana,"Germany;
Switzerland",Sin dato,2010,Sí con daños,Data not available,64.90 USD,,TJE - Trato Justo y Equitativo | Expropiación | Protección y Seguridad Plenas | Libre Transferencia | NMF - Nación Más Favorecida,"Primary - A - Agriculture, forestry and fishing",,"Germany - Zimbabwe BIT (1995);
Switzerland - Zimbabwe BIT (1996)","Germany;
Switzerland",,"Fortier, L. Y. - President; Williams, D. A. R. - Claimant; Hwang, M. - Respondent; Chen, A. - Respondent (replaced); Mutharika, A. P. - Respondent (replaced)",ICSID annulment proceedings,Award/decision upheld ICSID annulment proceedings,Indeterminado,Sí,http://www.italaw.com/cases/1472
AF/09/2,Abengoa v. Mexico,Mexico,Importador neto,América del Norte,Spain,Exportador neto,2009,Sí con daños,846.40 MXN (70.00 USD),491.80 MXN (40.30 USD),,Expropiación,"Tertiary - E - Water supply; sewerage, waste management and remediation activities",,Mexico - Spain BIT (2006),Spain,,"Mourre, A. - President; Fernández-Armesto, J. - Claimant; Siqueiros, E. - Respondent",,,Español,Sí,http://www.italaw.com/cases/1871
ICSID Case No. ARB/09/21,ARVI and SANITEX v. Serbia,Serbia,Exportador neto,Europa Occidental,Lithuania,Importador neto,2009,Sí con daños,Data not available,1.00 EUR (1.10 USD),,,Secondary - C - Manufacturing,,"Lithuania - Serbia BIT (2005);
Lithuania - Montenegro BIT (2005)",Lithuania,,"Buergenthal, T. - President; Brower, C. N. - Claimant; Varady, T. - Respondent",,,,No — revisar manual,Not available
ICSID Case No. ARB/09/17,Commerce Group v. El Salvador,El Salvador,Importador neto,América Central/Caribe,United States of America,Exportador neto,2009,No - ganó el Estado,100.00 USD,,,TJE - Trato Justo y Equitativo,Primary - B - Mining and quarrying,,CAFTA - DR (2004),United States of America,,"van den Berg, A. J. - President; Grigera Naón, H. A. - Claimant; Thomas, J. C. - Respondent",ICSID annulment proceedings,Discontinued ICSID annulment proceedings,Inglés,Sí,http://www.italaw.com/cases/296
ICSID Case No. ARB/09/2,Deutsche Bank v. Sri Lanka,Sri Lanka,Importador neto,Asia Sur-Este/Pacífico,Germany,Exportador neto,2009,Sí con daños,60.00 USD,60.00 USD,,TJE - Trato Justo y Equitativo | Expropiación | Protección y Seguridad Plenas | Cláusula Paraguas,Tertiary - K - Financial and insurance activities,,Germany - Sri Lanka BIT (2000),Germany,,"Hanotiau, B. - President; Williams, D. A. R. - Claimant; Khan, M. A. - Respondent",ICSID annulment proceedings,Discontinued ICSID annulment proceedings,Inglés,Sí,http://www.italaw.com/cases/1745
ICSID Case No. ARB/09/9,Dogan v. Turkmenistan,Turkmenistan,Importador neto,Este Europa/Asia Central,Germany,Exportador neto,2009,Sí con daños,45.00 USD,Data not available,,TJE - Trato Justo y Equitativo | Expropiación,"Primary - A - Agriculture, forestry and fishing",,Germany - Turkmenistan BIT (1997),Germany,,"Paulsson, J. - President; Wirth, M. - Claimant; Sands, P. - Respondent",ICSID annulment proceedings,Award/decision upheld ICSID annulment proceedings,Indeterminado,Sí,http://www.italaw.com/cases/1454
ICSID Case No. ARB/09/11,Global Trading v. Ukraine,Ukraine,Importador neto,Este Europa/Asia Central,United States of America,Exportador neto,2009,No - ganó el Estado,35.00 USD,,,,"Primary - A - Agriculture, forestry and fishing",,Ukraine - United States of America BIT (1994),United States of America,,"Berman, F. - President; Gaillard, E. - Claimant; Thomas, J. C. - Respondent",,,Inglés,Sí,http://www.italaw.com/cases/506
AF/09/1,Gold Reserve v. Venezuela,"Venezuela, Bolivarian Republic of",Importador neto,América del Sur,Canada,Exportador neto,2009,Sí con daños,1735.00 USD,713.00 USD,,TJE - Trato Justo y Equitativo | Expropiación | Protección y Seguridad Plenas | NMF - Nación Más Favorecida,Primary - B - Mining and quarrying,,"Canada - Venezuela, Bolivarian Republic of BIT (1996)",Canada,,"Bernardini, P. - President; Williams, D. A. R. - Claimant; Dupuy, P.-M. - Respondent",Judicial review by national courts,Award/decision upheld Judicial review by national courts,Inglés,Sí,http://www.italaw.com/cases/2727
ICSID Case No. ARB/09/15,H&H v. Egypt,Egypt,Importador neto,Medio Oriente/Norte África,United States of America,Exportador neto,2009,No - ganó el Estado,833.00 USD,Data not available,,TJE - Trato Justo y Equitativo | Expropiación | Protección y Seguridad Plenas | Cláusula Paraguas | NMF - Nación Más Favorecida,Tertiary - I - Accommodation and food service activities,,Egypt - United States of America BIT (1986),United States of America,,"Cremades, B. M. - President; Heiskanen, V. - Claimant; Gharavi, H. G. - Respondent",ICSID annulment proceedings,Discontinued ICSID annulment proceedings,Indeterminado,Sí,http://www.italaw.com/cases/1460
ICSID Case No. ARB/09/5,Iberdrola Energía v. Guatemala (I),Guatemala,Importador neto,América Central/Caribe,Spain,Exportador neto,2009,No - ganó el Estado,188.00 USD,,,TJE - Trato Justo y Equitativo | Expropiación,"Tertiary - D - Electricity, gas, steam and air conditioning supply",,Guatemala - Spain BIT (2002),Spain,,"Zuleta, E. - President; Derains, Y. - Claimant; Oreamuno Blanco, R. - Respondent",ICSID annulment proceedings,Award/decision upheld ICSID annulment proceedings,Indeterminado,Sí,http://www.italaw.com/cases/1518
ICSID Case No. ARB/09/8,KT Asia v. Kazakhstan,Kazakhstan,Importador neto,Este Europa/Asia Central,Netherlands,Exportador neto,2009,No - ganó el Estado,1500.00 USD,,,Expropiación,Tertiary - K - Financial and insurance activities,Nacionalización,Kazakhstan - Netherlands BIT (2002),Netherlands,,"Kaufmann-Kohler, G. - President; Glick, I. - Claimant; Thomas, J. C. - Respondent",ICSID annulment proceedings,Discontinued ICSID annulment proceedings,Inglés,Sí,http://www.italaw.com/cases/2277
ICSID Case No. ARB/09/12,Pac Rim v. El Salvador,El Salvador,Importador neto,América Central/Caribe,United States of America,Exportador neto,2009,No - ganó el Estado,314.00 USD,,,Expropiación | NMF - Nación Más Favorecida | Trato Nacional,Primary - B - Mining and quarrying,,CAFTA - DR (2004),United States of America,,"Veeder, V. V. - President; Tawil, G. S. - Claimant; Stern, B. - Respondent",,,Indeterminado,Sí,http://www.italaw.com/cases/783
ICSID Case No. ARB/09/20,Reinhard Unglaube v. Costa Rica,Costa Rica,Importador neto,América Central/Caribe,Germany,Exportador neto,2009,No - ganó el Estado,4.40 USD,,,,Tertiary - L - Real estate activities,,Costa Rica - Germany BIT (1994),Germany,,"Kessler, J. L. - President; Berman, F. - Claimant; Cremades, B. M. - Respondent",,,,No — revisar manual,http://www.italaw.com/cases/1136
ICSID Case No. ARB/09/16,Swisslion v. Macedonia,North Macedonia,Importador neto,Europa Occidental,Switzerland,Exportador neto,2009,Sí con daños,21.00 EUR (26.00 USD),0.35 EUR (0.43 USD),,,Secondary - C - Manufacturing,,"Macedonia, The former Yugoslav Republic of - Switzerland BIT (1996)",Switzerland,,"Guillaume, G. - President; Price, D. M. - Claimant; Thomas, J. C. - Respondent",,,,No — revisar manual,http://www.italaw.com/cases/1516
ICSID Case No. ARB/09/1,Teinver and others v. Argentina,Argentina,Importador neto,América del Sur,Spain,Exportador neto,2009,Sí con daños,1590.00 USD,320.80 USD,,,Tertiary - H - Transportation and storage,,Argentina - Spain BIT (1991),Spain,,"Buergenthal, T. - President; Álvarez, H. C. - Claimant; Hossain, K. - Respondent",ICSID annulment proceedings,Award/decision upheld ICSID annulment proceedings,,No — revisar manual,http://www.italaw.com/cases/1648
ICSID Case No. ARB/08/13,Alapli v. Turkey,Türkiye,Importador neto,Sin clasificar,Netherlands,Exportador neto,2008,No - ganó el Estado,100.00 USD,,,,"Tertiary - D - Electricity, gas, steam and air conditioning supply",,"The Energy Charter Treaty (1994);
Netherlands - Turkey BIT (1986)",Netherlands,,"Park, W. W. - President; Lalonde, M. - Claimant; Stern, B. - Respondent",ICSID annulment proceedings,Award/decision upheld ICSID annulment proceedings,,No — revisar manual,http://www.italaw.com/cases/1708
ICSID Case No. ARB/08/2,ATA Construction v. Jordan,Jordan,Importador neto,Medio Oriente/Norte África,Türkiye,Importador neto,2008,Sí con daños,5.90 USD,Non-pecuniary relief,,TJE - Trato Justo y Equitativo | Expropiación,Tertiary - F - Construction,,Jordan - Turkey BIT (1993),Türkiye,,"Fortier, L. Y. - President; El-Kosheri, A. S. - Claimant; Reisman, W. M. - Respondent",ICSID annulment proceedings,Discontinued ICSID annulment proceedings,Inglés,Sí,http://www.italaw.com/cases/97
ICSID Case No. ARB/08/11,Bosh v. Ukraine,Ukraine,Importador neto,Este Europa/Asia Central,United States of America,Exportador neto,2008,No - ganó el Estado,10.00 USD,,,,Tertiary - F - Construction,,Ukraine - United States of America BIT (1994),United States of America,,"Griffith, G. - President; Sands, P. - Claimant; McRae, D. M. - Respondent",,,,No — revisar manual,http://www.italaw.com/cases/1563
ICSID Case No. ARB/08/5,Burlington v. Ecuador,Ecuador,Importador neto,América del Sur,United States of America,Exportador neto,2008,Sí con daños,1515.60 USD,379.80 USD,,,Primary - B - Mining and quarrying,,Ecuador - United States of America BIT (1993),United States of America,,"Kaufmann-Kohler, G. - President; Drymer, S. L. - Claimant; Orrego Vicuña, F. - Claimant (replaced); Stern, B. - Respondent",ICSID annulment proceedings,Discontinued ICSID annulment proceedings,,No — revisar manual,http://www.italaw.com/cases/181
ICSID Case No. ARB/08/12,Caratube v. Kazakhstan,Kazakhstan,Importador neto,Este Europa/Asia Central,United States of America,Exportador neto,2008,No - ganó el Estado,1149.00 USD,,,,Primary - B - Mining and quarrying,,Kazakhstan - United States of America BIT (1992),United States of America,,"Böckstiegel, K.-H. - President; Griffith, G. - Claimant; Hossain, K. - Respondent",ICSID annulment proceedings,Award/decision upheld ICSID annulment proceedings,,No — revisar manual,http://www.italaw.com/cases/211
ICSID Case No. ARB/08/16,GEA v. Ukraine,Ukraine,Importador neto,Este Europa/Asia Central,Germany,Exportador neto,2008,No - ganó el Estado,30.60 USD,,,,Secondary - C - Manufacturing,,Germany - Ukraine BIT (1993),Germany,,"van den Berg, A. J. - President; Landau, T. - Claimant; Stern, B. - Respondent",,,,No — revisar manual,http://www.italaw.com/cases/478
ICSID Case No. ARB/08/8,Inmaris Perestroika v. Ukraine,Ukraine,Importador neto,Este Europa/Asia Central,Germany,Exportador neto,2008,Sí con daños,15.00 EUR (23.50 USD),3.00 EUR (3.80 USD),,,Tertiary - H - Transportation and storage,,Germany - Ukraine BIT (1993),Germany,,"Alexandrov, S. A. - President; Rubins, N. - Claimant; Cremades, B. M. - Respondent",,,,No — revisar manual,http://www.italaw.com/cases/565
ICSID Case No. ARB/08/19,Karmer Marble v. Georgia,Georgia,Importador neto,Este Europa/Asia Central,Türkiye,Importador neto,2008,Sí con daños,Data not available,Data not available,,,Tertiary - F - Construction,,Georgia - Turkey BIT (1992),Türkiye,,"Lalonde, M. - President; Orrego Vicuña, F. - Claimant; Schwartz, E. - Respondent",ICSID annulment proceedings,Discontinued ICSID annulment proceedings,,No — revisar manual,http://www.italaw.com/cases/1579
ICSID Case No. ARB/08/18,Malicorp v. Egypt,Egypt,Importador neto,Medio Oriente/Norte África,United Kingdom,Importador neto,2008,No - ganó el Estado,Data not available,Data not available,,,"Tertiary - F - Construction;
Tertiary - H - Transportation and storage;
Tertiary - H - Transportation and storage",,Egypt - United Kingdom BIT (1975),United Kingdom,,"Tercier, P. - President; Baptista, L. O. - Claimant; Tschanz, P.-Y. - Respondent",ICSID annulment proceedings,Award/decision upheld ICSID annulment proceedings,,No — revisar manual,http://www.italaw.com/cases/660
ICSID Case No. ARB/08/1,Marion Unglaube v. Costa Rica,Costa Rica,Importador neto,América Central/Caribe,Germany,Exportador neto,2008,Sí con daños,4.40 USD,3.10 USD,,,Tertiary - L - Real estate activities,,Costa Rica - Germany BIT (1994),Germany,,"Kessler, J. L. - President; Berman, F. - Claimant; Cremades, B. M. - Respondent",,,,No — revisar manual,http://www.italaw.com/cases/1134
ICSID Case No. ARB/08/4,Murphy v. Ecuador (I),Ecuador,Importador neto,América del Sur,United States of America,Exportador neto,2008,No - ganó el Estado,Data not available,Data not available,,,Primary - B - Mining and quarrying,,Ecuador - United States of America BIT (1993),United States of America,,"Oreamuno Blanco, R. - President; Grigera Naón, H. A. - Claimant; Vinuesa, R. E. - Respondent",,,,No — revisar manual,http://www.italaw.com/cases/723
ICSID Case No. ARB/08/6,Perenco v. Ecuador,Ecuador,Importador neto,América del Sur,Bahamas,Sin dato,2008,Sí con daños,1423.00 USD,416.50 USD,,,Primary - B - Mining and quarrying,,Ecuador - France BIT (1994),Bahamas,,"Tomka, P. - President; Bingham, T. - President (replaced); Kaplan, N. - Claimant; Brower, C. N. - Claimant (replaced); Thomas, J. C. - Respondent",ICSID annulment proceedings,Award/decision partially annulled ICSID annulment proceedings,,No — revisar manual,http://www.italaw.com/cases/819
ICSID Case No. ARB/07/22,AES v. Hungary (II),Hungary,Importador neto,Europa Occidental,United Kingdom,Importador neto,2007,No - ganó el Estado,230.00 USD,,,,"Tertiary - D - Electricity, gas, steam and air conditioning supply",,The Energy Charter Treaty (1994),United Kingdom,,"von Wobeser, C. - President; Rowley, J. W. - Claimant; Stern, B. - Respondent",ICSID annulment proceedings,Award/decision upheld ICSID annulment proceedings,,No — revisar manual,http://www.italaw.com/cases/193
ICSID Case No. ARB/07/16,Alpha Projektholding v. Ukraine,Ukraine,Importador neto,Este Europa/Asia Central,Austria,Exportador neto,2007,Sí con daños,11.40 USD,2.90 USD,,,"Tertiary - F - Construction;
Tertiary - I - Accommodation and food service activities",,Austria - Ukraine BIT (1996),Austria,,"Robinson, D. R. - President; Turbowicz, Y. A. - Claimant; Alexandrov, S. A. - Respondent",,,,No — revisar manual,http://www.italaw.com/cases/71
AF/07/3,Anderson v. Costa Rica,Costa Rica,Importador neto,América Central/Caribe,Canada,Exportador neto,2007,No - ganó el Estado,405.00 USD,,,,Tertiary - K - Financial and insurance activities,,Canada - Costa Rica BIT (1998),Canada,,"Morelli Rico, S. - President; Salacuse, J. W. - Claimant; Vinuesa, R. E. - Respondent",,,,No — revisar manual,http://www.italaw.com/cases/85
ICSID Case No. ARB/07/30,ConocoPhillips v. Venezuela,"Venezuela, Bolivarian Republic of",Importador neto,América del Sur,Netherlands,Exportador neto,2007,Sí con daños,30305.00 USD,8366.10 USD,,,Primary - B - Mining and quarrying,,"Netherlands - Venezuela, Bolivarian Republic of BIT (1991)",Netherlands,,"Keith, K. - President (replaced); Fortier, L. Y. - Claimant; Abi-Saab, G. - Respondent (replaced); Brownlie, I. - Respondent (replaced); Bucher, A. - Respondent; Zuleta, E. - President",ICSID annulment proceedings,Pending ICSID annulment proceedings,,No — revisar manual,http://www.italaw.com/cases/321
ICSID Case No. ARB/07/19,Electrabel v. Hungary,Hungary,Importador neto,Europa Occidental,Belgium,Exportador neto,2007,No - ganó el Estado,147000.00 HUF (679.70 USD),Data not available,,,"Tertiary - D - Electricity, gas, steam and air conditioning supply",,The Energy Charter Treaty (1994),Belgium,,"Veeder, V. V. - President; Kaufmann-Kohler, G. - Claimant; Stern, B. - Respondent",,,,No — revisar manual,http://www.italaw.com/cases/380
AF/07/2,Europe Cement v. Turkey,Türkiye,Importador neto,Sin clasificar,Poland,Importador neto,2007,No - ganó el Estado,3800.00 USD,,,,"Tertiary - D - Electricity, gas, steam and air conditioning supply",,The Energy Charter Treaty (1994),Poland,,"McRae, D. M. - President; Lew, J. D. M. - Claimant; Lévy, L. - Respondent",,,,No — revisar manual,http://www.italaw.com/cases/421
ICSID Case No. ARB/07/15,Fuchs v. Georgia,Georgia,Importador neto,Este Europa/Asia Central,Israel,Importador neto,2007,Sí con daños,30.20 USD,15.10 USD,,,Tertiary - H - Transportation and storage,,Georgia - Greece BIT (1994),Israel,,"Fortier, L. Y. - President; Lowe, V. - Claimant; Watts, A. - Claimant (replaced); Orrego Vicuña, F. - Respondent",ICSID annulment proceedings,Discontinued ICSID annulment proceedings,,No — revisar manual,http://www.italaw.com/cases/464
ICSID Case No. ARB/07/24,Hamester v. Ghana,Ghana,Importador neto,África Subsahariana,Germany,Exportador neto,2007,No - ganó el Estado,100.00 EUR (142.70 USD),,,,Secondary - C - Manufacturing,,Germany - Ghana BIT (1995),Germany,,"Stern, B. - President; Cremades, B. M. - Claimant; Landau, T. - Respondent",,,,No — revisar manual,http://www.italaw.com/cases/527
ICSID Case No. ARB/07/31,HOCHTIEF v. Argentina,Argentina,Importador neto,América del Sur,Germany,Exportador neto,2007,Sí con daños,157.20 USD,13.40 USD,,,Tertiary - F - Construction,,Argentina - Germany BIT (1991),Germany,,"Lowe, V. - President; Brower, C. N. - Claimant; Thomas, J. C. - Respondent",ICSID annulment proceedings,Pending ICSID annulment proceedings,,No — revisar manual,http://www.italaw.com/cases/538
ICSID Case No. ARB/07/17,Impregilo v. Argentina (I),Argentina,Importador neto,América del Sur,Italy,Exportador neto,2007,Sí con daños,119.00 USD,21.29 USD,,,"Tertiary - E - Water supply; sewerage, waste management and remediation activities;
Tertiary - E - Water supply; sewerage, waste management and remediation activities",,Argentina - Italy BIT (1990),Italy,,"Danelius, H. - President; Brower, C. N. - Claimant; Stern, B. - Respondent",ICSID annulment proceedings,Award/decision upheld ICSID annulment proceedings,,No — revisar manual,http://www.italaw.com/cases/554
ICSID Case No. ARB/07/14,Liman Caspian Oil v. Kazakhstan,Kazakhstan,Importador neto,Este Europa/Asia Central,Netherlands,Exportador neto,2007,No - ganó el Estado,200.00 USD,,,,Primary - B - Mining and quarrying,,The Energy Charter Treaty (1994),Netherlands,,"Böckstiegel, K.-H. - President; Hobér, K. - Claimant; Crawford, J. R. - Respondent",,,,No — revisar manual,http://www.italaw.com/cases/1977
AF/07/4,Mobil and Murphy v. Canada (I),Canada,Exportador neto,América del Norte,United States of America,Exportador neto,2007,Sí con daños,60.00 CAD (59.10 USD),17.30 CAD (13.90 USD),,,Primary - B - Mining and quarrying,,NAFTA (1992),United States of America,,"van Houtte, H. - President; Janow, M. - Claimant; Sands, P. - Respondent",Judicial review by national courts,Award/decision upheld Judicial review by national courts,,No — revisar manual,http://www.italaw.com/cases/1225
ICSID Case No. ARB/07/27,Mobil and others v. Venezuela,"Venezuela, Bolivarian Republic of",Importador neto,América del Sur,"Bahamas;
United States of America;
Netherlands",Sin dato,2007,Sí con daños,14679.00 USD,1600.00 USD,,,Primary - B - Mining and quarrying,,"Netherlands - Venezuela, Bolivarian Republic of BIT (1991)","Bahamas;
United States of America;
Netherlands",,"Guillaume, G. - President; Kaufmann-Kohler, G. - Claimant; El-Kosheri, A. S. - Respondent","ICSID annulment proceedings;
ICSID resubmission proceedings","Award/decision partially annulled ICSID annulment proceedings;
Decided in favour of the investor ICSID resubmission proceedings",,No — revisar manual,http://www.italaw.com/cases/713
ICSID Case No. ARB/07/21,Pantechniki v. Albania,Albania,Importador neto,Europa Occidental,Greece,Importador neto,2007,No - ganó el Estado,2.00 USD,,,,Tertiary - F - Construction,,Albania - Greece BIT (1991),Greece,,"Paulsson, J. - Sole arbitrator",,,,No — revisar manual,http://www.italaw.com/cases/810
ICSID Case No. ARB/07/23,RDV v. Guatemala,Guatemala,Importador neto,América Central/Caribe,United States of America,Exportador neto,2007,Sí con daños,64.00 USD,11.30 USD,,,Tertiary - F - Construction,,CAFTA - DR (2004),United States of America,,"Rigo Sureda, A. - President; Eizenstat, S. E. - Claimant; Crawford, J. R. - Respondent",,,,No — revisar manual,http://www.italaw.com/cases/887
ICSID Case No. ARB/07/20,Saba Fakes v. Turkey,Türkiye,Importador neto,Sin clasificar,Netherlands,Exportador neto,2007,No - ganó el Estado,19000.00 USD,,,,Tertiary - J - Information and communication,,Netherlands - Turkey BIT (1986),Netherlands,,"Gaillard, E. - President; van Houtte, H. - Claimant; Lévy, L. - Respondent",,,,No — revisar manual,http://www.italaw.com/cases/429
ICSID Case No. ARB/07/29,SGS v. Paraguay,Paraguay,Importador neto,América del Sur,Switzerland,Exportador neto,2007,Sí con daños,61.50 USD,39.00 USD,,,"Tertiary - M - Professional, scientific and technical activities",Rescisión/terminación de contrato | Medida fiscal/impositiva,Paraguay - Switzerland BIT (1992),Switzerland,,"Alexandrov, S. A. - President; Donovan, D. - Claimant; García Mexía, P. - Respondent",ICSID annulment proceedings,Award/decision upheld ICSID annulment proceedings,Indeterminado,Sí,http://www.italaw.com/cases/1016
ICSID Case No. ARB/07/12,Toto v. Lebanon,Lebanon,Importador neto,Medio Oriente/Norte África,Italy,Exportador neto,2007,No - ganó el Estado,33.00 USD,,,Cláusula Paraguas,Tertiary - F - Construction,,Italy - Lebanon BIT (1997),Italy,,"van Houtte, H. - President; Schwebel, S. M. - Claimant; Feliciani, A. - Claimant (replaced); Moghaizel, F. - Respondent",ICSID annulment proceedings,Discontinued ICSID annulment proceedings,Indeterminado,Sí,http://www.italaw.com/cases/1108
ICSID Case No. ARB/07/6,Tza Yap Shum v. Peru,Peru,Importador neto,América del Sur,China,Importador neto,2007,Sí con daños,71.50 PEN (25.80 USD),0.78 USD,,Expropiación,Secondary - C - Manufacturing,,China - Peru BIT (1994),China,90% share,"Kessler, J. L. - President; Otero, H. - Claimant; Fernández-Armesto, J. - Respondent",ICSID annulment proceedings,Award/decision upheld ICSID annulment proceedings,Indeterminado,Sí,http://www.italaw.com/cases/1126
ICSID Case No. ARB/07/26,Urbaser and CABB v. Argentina,Argentina,Importador neto,América del Sur,Spain,Exportador neto,2007,Sí sin daños,211.20 USD,0.00 USD,,TJE - Trato Justo y Equitativo | Expropiación,"Tertiary - E - Water supply; sewerage, waste management and remediation activities;
Tertiary - E - Water supply; sewerage, waste management and remediation activities",Rescisión/terminación de contrato,Argentina - Spain BIT (1991),Spain,,"Bucher, A. - President; Martínez-Fraga, P. J. - Claimant; McLachlan, C. A. - Respondent; Brownlie, I. - Respondent (replaced)",,,Inglés,Sí,http://www.italaw.com/cases/1144
ICSID Case No. ARB/06/15,Azpetrol v. Azerbaijan,Azerbaijan,Importador neto,Este Europa/Asia Central,Netherlands,Exportador neto,2006,No - ganó el Estado,300.00 USD,,,Expropiación,"Tertiary - D - Electricity, gas, steam and air conditioning supply;
Tertiary - H - Transportation and storage;
Tertiary - H - Transportation and storage",,The Energy Charter Treaty (1994),Netherlands,,"Feliciano, F. P. - President; Watts, A. - President (replaced); Brower, C. N. - Claimant; Greenwood, C. - Respondent",,,Inglés,Sí,http://www.italaw.com/cases/116
AF/06/2,Cementownia v. Turkey (I),Türkiye,Importador neto,Sin clasificar,Poland,Importador neto,2006,No - ganó el Estado,4648.00 USD,,,Expropiación,"Tertiary - D - Electricity, gas, steam and air conditioning supply",,The Energy Charter Treaty (1994),Poland,,"Tercier, P. - President; Lalonde, M. - Claimant; Thomas, J. C. - Respondent",,,Inglés,Sí,http://www.italaw.com/cases/228
ICSID Case No. ARB/06/18,Lemire v. Ukraine (II),Ukraine,Importador neto,Este Europa/Asia Central,United States of America,Exportador neto,2006,Sí con daños,46.60 USD,8.70 USD,,TJE - Trato Justo y Equitativo | Cláusula Paraguas | Trato Nacional,Tertiary - J - Information and communication,,Ukraine - United States of America BIT (1994),United States of America,,"Fernández-Armesto, J. - President; Paulsson, J. - Claimant; Voss, J. - Respondent",ICSID annulment proceedings,Award/decision upheld ICSID annulment proceedings,Indeterminado,Sí,http://www.italaw.com/cases/614
ICSID Case No. ARB/06/8,Libananco v. Turkey,Türkiye,Importador neto,Sin clasificar,Cyprus,Exportador neto,2006,No - ganó el Estado,10000.00 USD,,,,"Tertiary - D - Electricity, gas, steam and air conditioning supply",,The Energy Charter Treaty (1994),Cyprus,,"Hwang, M. - President; Álvarez, H. C. - Claimant; Berman, F. - Respondent",ICSID annulment proceedings,Award/decision upheld ICSID annulment proceedings,Inglés,Sí,http://www.italaw.com/cases/626
ICSID Case No. ARB/06/19,Nations Energy v. Panama,Panama,Importador neto,América Central/Caribe,United States of America,Exportador neto,2006,No - ganó el Estado,62.10 USD,,,TJE - Trato Justo y Equitativo | Expropiación,"Tertiary - D - Electricity, gas, steam and air conditioning supply",,Panama - United States of America BIT (1982),United States of America,,"Mourre, A. - President; Chillón Medina, J. M. - Claimant; von Wobeser, C. - Respondent",ICSID annulment proceedings,Discontinued ICSID annulment proceedings,Indeterminado,Sí,http://www.italaw.com/cases/739
ICSID Case No. ARB/06/11,Occidental v. Ecuador (II),Ecuador,Importador neto,América del Sur,United States of America,Exportador neto,2006,Sí con daños,1000.00 USD,1769.00 USD,,,Primary - B - Mining and quarrying,,Ecuador - United States of America BIT (1993),United States of America,,"Fortier, L. Y. - President; Williams, D. A. R. - Claimant; Stern, B. - Respondent",ICSID annulment proceedings,Award/decision partially annulled ICSID annulment proceedings,Inglés,Sí,http://www.italaw.com/cases/767
ICSID Case No. ARB/06/5,Phoenix Action v. Czech Republic,Czechia,Importador neto,Sin clasificar,Israel,Importador neto,2006,No - ganó el Estado,953.00 CZK (47.60 USD),,,TJE - Trato Justo y Equitativo | Expropiación,Tertiary - G - Wholesale and retail trade; repair of motor vehicles and motorcycles,,Czech Republic - Israel BIT (1997),Israel,100% (wholly owned),"Stern, B. - President; Bucher, A. - Claimant; Fernández-Armesto, J. - Respondent",,,Inglés,Sí,http://www.italaw.com/cases/850
ICSID Case No. ARB/06/2,Quiborax v. Bolivia,"Bolivia, Plurinational State of",Importador neto,Sin clasificar,Chile,Importador neto,2006,Sí con daños,66.00 USD,48.60 USD,,Expropiación,"Primary - B - Mining and quarrying;
Secondary - C - Manufacturing",Nacionalización,"Bolivia, Plurinational State of - Chile BIT (1994)",Chile,,"Kaufmann-Kohler, G. - President; Lalonde, M. - Claimant; Stern, B. - Respondent",ICSID annulment proceedings,Award/decision upheld ICSID annulment proceedings,Indeterminado,Sí,http://www.italaw.com/cases/885
ICSID Case No. ARB/06/3,Rompetrol v. Romania,Romania,Importador neto,Europa Occidental,Netherlands,Exportador neto,2006,Sí sin daños,100.00 USD,0.00 USD,,TJE - Trato Justo y Equitativo | Expropiación,Secondary - C - Manufacturing,Nacionalización,Netherlands - Romania BIT (1994),Netherlands,,"Berman, F. - President; Donovan, D. - Claimant; Lalonde, M. - Respondent",,,Indeterminado,Sí,http://www.italaw.com/cases/920
ICSID Case No. ARB/06/1,Roussalis v. Romania,Romania,Importador neto,Europa Occidental,Greece,Importador neto,2006,No - ganó el Estado,110.00 USD,,,,Tertiary - H - Transportation and storage,,Greece - Romania BIT (1997),Greece,,"Hanotiau, B. - President; Giardina, A. - Claimant; Reisman, W. M. - Respondent",,,Indeterminado,Sí,http://www.italaw.com/cases/927
